"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414713","1.19","13378","","","","0"
"2006/2007","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427452","1.1","11818","","","","0"
"2006/2007","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427461","1.2","12784","","","","0"
"2006/2007","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427462","1.3","13313","","","","0"
"2006/2007","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427463","1.4","12614","","","","0"
"2006/2007","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427464","1.5","14690","","","","0"
"2006/2007","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427465","1.6","13414","","","","0"
"2006/2007","Canada","2016A000011124","Physical and life sciences and technologies","Current dollars","75","units","0","v62427466","1.7","13379","","","","0"
"2006/2007","Canada","2016A000011124","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427467","1.8","13613","","","","0"
"2006/2007","Canada","2016A000011124","Engineering","Current dollars","75","units","0","v62427468","1.9","14045","","","","0"
"2006/2007","Canada","2016A000011124","Architecture","Current dollars","75","units","0","v62427453","1.10","13388","","","","0"
"2006/2007","Canada","2016A000011124","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427454","1.11","12584","","","","0"
"2006/2007","Canada","2016A000011124","Medicine","Current dollars","75","units","0","v62427456","1.13","21685","","","","0"
"2006/2007","Canada","2016A000011124","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427460","1.17","14473","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Total, field of study","Current dollars","75","units","0","v1001414714","2.19","10147","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Education","Current dollars","75","units","0","v62427496","2.1","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427501","2.2","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Humanities","Current dollars","75","units","0","v62427502","2.3","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427503","2.4","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Business, management and public administration","Current dollars","75","units","0","v62427504","2.6","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Current dollars","75","units","0","v62427505","2.7","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427506","2.8","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Engineering","Current dollars","75","units","0","v62427507","2.9","8780","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427497","2.13","30000","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427500","2.17","8780","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414715","3.19","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427508","3.1","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427512","3.2","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427514","3.4","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Business, management and public administration","Current dollars","75","units","0","v62427515","3.6","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Physical and life sciences and technologies","Current dollars","75","units","0","v62427516","3.7","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427517","3.8","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Engineering","Current dollars","75","units","0","v62427518","3.9","8970","","","","0"
"2006/2007","Prince Edward Island","2016A000211","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427511","3.17","8970","","","","0"
"2006/2007","Nova Scotia","2016A000212","Total, field of study","Current dollars","75","units","0","v1001414716","4.19","12363","","","","0"
"2006/2007","Nova Scotia","2016A000212","Education","Current dollars","75","units","0","v62427519","4.1","9576","","","","0"
"2006/2007","Nova Scotia","2016A000212","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427526","4.2","12506","","","","0"
"2006/2007","Nova Scotia","2016A000212","Humanities","Current dollars","75","units","0","v62427527","4.3","12023","","","","0"
"2006/2007","Nova Scotia","2016A000212","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427528","4.4","12746","","","","0"
"2006/2007","Nova Scotia","2016A000212","Law","Current dollars","75","units","0","v62427529","4.5","18116","","","","0"
"2006/2007","Nova Scotia","2016A000212","Business, management and public administration","Current dollars","75","units","0","v62427530","4.6","11870","","","","0"
"2006/2007","Nova Scotia","2016A000212","Physical and life sciences and technologies","Current dollars","75","units","0","v62427531","4.7","12516","","","","0"
"2006/2007","Nova Scotia","2016A000212","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427532","4.8","13100","","","","0"
"2006/2007","Nova Scotia","2016A000212","Engineering","Current dollars","75","units","0","v62427533","4.9","12995","","","","0"
"2006/2007","Nova Scotia","2016A000212","Architecture","Current dollars","75","units","0","v62427520","4.10","12750","","","","0"
"2006/2007","Nova Scotia","2016A000212","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427521","4.11","11000","","","","0"
"2006/2007","Nova Scotia","2016A000212","Medicine","Current dollars","75","units","0","v62427523","4.13","20268","","","","0"
"2006/2007","Nova Scotia","2016A000212","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427525","4.17","13654","","","","0"
"2006/2007","New Brunswick","2016A000213","Total, field of study","Current dollars","75","units","0","v1001414717","5.19","10630","","","","0"
"2006/2007","New Brunswick","2016A000213","Education","Current dollars","75","units","0","v62427534","5.1","10795","","","","0"
"2006/2007","New Brunswick","2016A000213","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427538","5.2","10681","","","","0"
"2006/2007","New Brunswick","2016A000213","Humanities","Current dollars","75","units","0","v62427539","5.3","11398","","","","0"
"2006/2007","New Brunswick","2016A000213","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427540","5.4","10115","","","","0"
"2006/2007","New Brunswick","2016A000213","Law","Current dollars","75","units","0","v62427541","5.5","12232","","","","0"
"2006/2007","New Brunswick","2016A000213","Business, management and public administration","Current dollars","75","units","0","v62427542","5.6","10527","","","","0"
"2006/2007","New Brunswick","2016A000213","Physical and life sciences and technologies","Current dollars","75","units","0","v62427543","5.7","11277","","","","0"
"2006/2007","New Brunswick","2016A000213","Mathematics, computer and information sciences","Current dollars","75","units","0","v62427544","5.8","10402","","","","0"
"2006/2007","New Brunswick","2016A000213","Engineering","Current dollars","75","units","0","v62427545","5.9","10754","","","","0"
"2006/2007","New Brunswick","2016A000213","Agriculture, natural resources and conservation","Current dollars","75","units","0","v62427535","5.11","7843","","","","0"
